parameter_path,parameter_value,scenario,behavior_case,horizon_months,metric,median_value,median_paired_delta,classification
behavior_cases.moderate_positive.ownership_productivity_sensitivity,-0.05,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.5733849441663566e+08,-1.31662581006293e+07,risk_constrained
behavior_cases.moderate_positive.ownership_productivity_sensitivity,-0.05,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5733849441663566e+08,6.00121763105689e+06,development_dominant
behavior_cases.moderate_positive.ownership_productivity_sensitivity,-0.05,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5733849441663566e+08,6.00121763105689e+06,development_dominant
behavior_cases.moderate_positive.ownership_productivity_sensitivity,0,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.568120834934646e+08,-1.350794638393417e+07,risk_constrained
behavior_cases.moderate_positive.ownership_productivity_sensitivity,0,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5624916103098285e+08,4.879470272603646e+06,development_dominant
behavior_cases.moderate_positive.ownership_productivity_sensitivity,0,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5624916103098285e+08,4.879470272603646e+06,development_dominant
behavior_cases.moderate_positive.ownership_productivity_sensitivity,0.02,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.6118482049049488e+08,-9.188128032201082e+06,risk_constrained
behavior_cases.moderate_positive.ownership_productivity_sensitivity,0.02,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5574351722476822e+08,4.267609963668197e+06,development_dominant
behavior_cases.moderate_positive.ownership_productivity_sensitivity,0.02,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5574351722476822e+08,4.267609963668197e+06,development_dominant
behavior_cases.moderate_positive.ownership_productivity_sensitivity,0.05,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.6968703476639038e+08,-1.7231066853009015e+06,risk_constrained
behavior_cases.moderate_positive.ownership_productivity_sensitivity,0.05,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5518253719558686e+08,3.71148470923084e+06,development_dominant
behavior_cases.moderate_positive.ownership_productivity_sensitivity,0.05,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5518253719558686e+08,3.71148470923084e+06,development_dominant
behavior_cases.moderate_positive.ownership_productivity_sensitivity,0.1,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.7945488115682888e+08,8.488816181443557e+06,risk_constrained
behavior_cases.moderate_positive.ownership_productivity_sensitivity,0.1,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.544518544272352e+08,3.208093809321925e+06,development_dominant
behavior_cases.moderate_positive.ownership_productivity_sensitivity,0.1,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.544518544272352e+08,3.208093809321925e+06,development_dominant
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,-0.1,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.6602910219031066e+08,-4.650847443077162e+06,risk_constrained
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,-0.1,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5516068098285908e+08,3.874895210549429e+06,development_dominant
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,-0.1,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5516068098285908e+08,3.874895210549429e+06,development_dominant
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,-0.05,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.651023832533766e+08,-6.102803571179643e+06,risk_constrained
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,-0.05,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.557159121717992e+08,4.1707984972064346e+06,development_dominant
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,-0.05,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.557159121717992e+08,4.1707984972064346e+06,development_dominant
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,-0.02,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.6326319269332832e+08,-7.412229648137197e+06,risk_constrained
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,-0.02,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.55546655451535e+08,4.1919575353834927e+06,development_dominant
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,-0.02,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.55546655451535e+08,4.1919575353834927e+06,development_dominant
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,0,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.6226563775691465e+08,-8.197589861964256e+06,risk_constrained
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,0,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.558651063562097e+08,4.415043171613172e+06,development_dominant
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,0,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.558651063562097e+08,4.415043171613172e+06,development_dominant
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,0.05,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.5897882538579553e+08,-1.1027874413531661e+07,risk_constrained
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,0.05,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5589310560988164e+08,4.638412560506687e+06,development_dominant
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,0.05,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5589310560988164e+08,4.638412560506687e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.01,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.01,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.01,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.03,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.03,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.03,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
