scenario,system_type,behavior_case,market_case,horizon_months,runs,median_cumulative_revenue,p10_cumulative_revenue,p90_cumulative_revenue,median_operating_profit,median_net_profit,median_productivity_per_employee,turnover_rate_annual_average,hiring_and_onboarding_costs_total,average_employee_income_monthly,risk_adjusted_employee_income,employee_cash_distribution_total,member_capital_accounts_total,reinvestment_total_cash,productive_capacity_growth_rate,cash_end_total_median,cash_end_unrestricted_p10,min_unrestricted_cash_p10,liquidity_deficit_probability,bankruptcy_probability,shock_survival_rate,final_headcount_median,revenue_cagr_median,capacity_cagr_median,employee_risk_concentration_index_average,sustainable_development_value_proxy_median,classification,assumption_flags
employee_ownership_partial,employee_ownership_partial,governance_costly,default_market,60,1000,6.871211027548397e+08,3.736524013732387e+08,7.129103849155476e+08,21835.756273723207,-4.842432401005812e+06,217557.97543303418,0.19999999999999982,5.937276156359367e+06,116129.1432459626,113739.60020575054,1.6789609044790864e+06,369037.22777344973,2.52100482323042e+06,-0.09908011852944232,7.532478673775714e+06,160929.90761325092,160929.90761325092,0.298,0.298,0.6885245901639344,41.1362142669185,-0.023392523905370832,-0.020651563770963943,0.20744120993942639,1.6180333576632467e+08,risk_constrained,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,governance_costly,default_market,120,1000,7.108348655990751e+08,3.736524013732387e+08,7.714454288030682e+08,-8.117540878349203e+06,-1.2944279645203114e+07,114355.78644753134,0.1049999999999999,5.937276156359367e+06,116768.16425270712,101961.5717319158,1.6789609044790864e+06,303293.8516346347,2.52100482323042e+06,-0.10531021214380998,431519.6509429822,-6.402842700481415e-10,-6.402842700481415e-10,1,1,0.625,33.09260725333278,0,-0.011066137466809123,0.10906528973999197,1.5331029003501886e+08,development_dominant,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,governance_costly,default_market,240,1000,7.108348655990751e+08,3.736524013732387e+08,7.714454288030682e+08,-8.117540878349203e+06,-1.2944279645203114e+07,57177.89322376567,0.05249999999999995,5.937276156359367e+06,116768.16425270712,103759.7082787405,1.6789609044790864e+06,303293.8516346347,2.52100482323042e+06,-0.10531021214380998,431519.6509429822,-6.402842700481415e-10,-6.402842700481415e-10,1,1,0.625,33.09260725333278,0,-0.0055484614459563875,0.05453264486999598,1.5331029003501886e+08,development_dominant,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,moderate_positive,default_market,60,1000,7.093304290986834e+08,3.756726467264242e+08,7.260881802609085e+08,8.745948059525408e+06,2.650595369588767e+06,219952.40945188986,0.1787990484230696,5.916773368775457e+06,116648.14167789143,114269.9184677374,2.0545286427413635e+06,527201.7323061351,3.085366879025678e+06,-0.09575025226762823,1.4146838080843803e+07,8.1239316616372615e+06,8.1239316616372615e+06,0.274,0.274,0.7946768060836502,47.213149400566046,0,-0.01992868291148092,0.20907267028748963,1.687425437012291e+08,risk_constrained,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,moderate_positive,default_market,120,1000,7.813320293482641e+08,3.756726467264242e+08,8.333130269165919e+08,-6.021386270716958e+06,-1.2009729279001463e+07,124984.75813802349,0.10181350733444472,5.916773368775457e+06,118501.05956508484,103576.35600363447,2.0545286427413635e+06,393107.96737747564,3.085366879025678e+06,-0.11068636312324404,537113.8466454204,-1.0477378964424133e-09,-1.0477378964424133e-09,1,1,0.6190476190476191,35.026289115413,0,-0.011661996404459751,0.1181025432226285,1.524522171672697e+08,development_dominant,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,moderate_positive,default_market,240,1000,7.813320293482641e+08,3.756726467264242e+08,8.333130269165919e+08,-6.021386270716958e+06,-1.2009729279001463e+07,62492.379069011746,0.05090675366722236,5.916773368775457e+06,118501.05956508484,104985.01491264606,2.0545286427413635e+06,393107.96737747564,3.085366879025678e+06,-0.11068636312324404,537113.8466454204,-1.0477378964424133e-09,-1.0477378964424133e-09,1,1,0.6190476190476191,35.026289115413,0,-0.005848098329480078,0.05905127161131425,1.524522171672697e+08,development_dominant,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,negative_fairness_free_rider,default_market,60,1000,5.961081742143865e+08,3.9459047603224677e+08,6.47991120319868e+08,-1.0529499194744332e+07,-1.4076543116259411e+07,194446.058973482,0.21919443146209633,5.928043771045914e+06,114213.74235677026,105987.99319500869,1.260857039143287e+06,211461.62057758315,1.8937567287325035e+06,-0.09381026473674337,317152.20910499385,-6.402842700481415e-10,-6.402842700481415e-10,0.999,0.999,0.5732009925558312,30.596763566585267,-0.17948866075548275,-0.019508512143113,0.18847273458978736,1.5522144619167605e+08,risk_constrained,"high_performer_attrition_indicator_only: weighted high-performer attrition indicator is 0.01; it is reported as an assumption only because section 8 defines no term for aggregate turnover;simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,negative_fairness_free_rider,default_market,120,1000,5.961081742143865e+08,3.9459047603224677e+08,6.47991120319868e+08,-1.0529499194744332e+07,-1.4080214841736112e+07,97223.029486741,0.10959721573104816,5.928043771045914e+06,114213.74235677026,99793.2324519611,1.260857039143287e+06,211461.62057758315,1.8937567287325035e+06,-0.09381026473674337,317152.20910499385,-6.402842700481415e-10,-6.402842700481415e-10,1,1,0.5732009925558312,30.596763566585267,0,-0.009802298600828596,0.09423636729489368,1.5522144619167605e+08,development_dominant,"high_performer_attrition_indicator_only: weighted high-performer attrition indicator is 0.01; it is reported as an assumption only because section 8 defines no term for aggregate turnover;simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,negative_fairness_free_rider,default_market,240,1000,5.961081742143865e+08,3.9459047603224677e+08,6.47991120319868e+08,-1.0529499194744332e+07,-1.4080214841736112e+07,48611.5147433705,0.05479860786552408,5.928043771045914e+06,114213.74235677026,102069.1634672314,1.260857039143287e+06,211461.62057758315,1.8937567287325035e+06,-0.09381026473674337,317152.20910499385,-6.402842700481415e-10,-6.402842700481415e-10,1,1,0.5732009925558312,30.596763566585267,0,-0.004913219161766513,0.04711818364744684,1.5522144619167605e+08,development_dominant,"high_performer_attrition_indicator_only: weighted high-performer attrition indicator is 0.01; it is reported as an assumption only because section 8 defines no term for aggregate turnover;simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
employee_ownership_partial,employee_ownership_partial,no_effect,default_market,60,1000,6.871211027548397e+08,3.736524013732387e+08,7.129103849155476e+08,21835.756273723207,-4.842432401005812e+06,217557.97543303418,0.19999999999999982,5.937276156359367e+06,116129.1432459626,113739.60020575054,1.6789609044790864e+06,369037.22777344973,2.52100482323042e+06,-0.09908011852944232,7.532478673775714e+06,160929.90761325092,160929.90761325092,0.298,0.298,0.6885245901639344,41.1362142669185,-0.023392523905370832,-0.020651563770963943,0.20744120993942639,1.6180333576632467e+08,risk_constrained,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
